 	Label	Area	Mean	Min	Max	Time	"""Redness"""							
1	Red	7010	249.95	237	254	0	-1.745					B2R_Ratio		
2	Green	7010	188.157	177	194									
3	Blue	7010	122.874	117	130							Time:	Ratio:	"""Redness"""
4	(R+G+B)/3	7010	187.118	177	192							30	0.491594319	-1.745
5	0.299R+0.587G+0.114B	7010	199.132	188	204							60	0.487598692	0.2965
6	Red	7010	249.006	246	252	30	0.2965					90	0.480617306	2.9255
7	Green	7010	184.914	182	188							120	0.493106832	4.2915
8	Blue	7010	121.415	116	129							150	0.47868336	4.6875
9	(R+G+B)/3	7010	185.135	181	190							180	0.478042949	7.412
10	0.299R+0.587G+0.114B	7010	196.921	194	200							210	0.465653234	8.551
11	Red	7010	247.592	244	251	60	2.9255					240	0.463064835	
12	Green	7010	180.369	176	185							270	0.469573354	
13	Blue	7010	118.997	115	124							300	0.479784001	
14	(R+G+B)/3	7010	182.447	179	187							330	0.468007203	
15	0.299R+0.587G+0.114B	7010	193.578	190	198							360		
16	Red	7010	252.714	249	254	90	4.2915					390		
17	Green	7010	184.373	180	188							420		
18	Blue	7010	124.615	119	131							450		
19	(R+G+B)/3	7010	187.192	183	191							480		
20	0.299R+0.587G+0.114B	7010	197.84	194	201							510		
21	Red	7010	252.643	247	254	120	4.6875					540		
22	Green	7010	182.102	176	186							570		
23	Blue	7010	120.936	114	127									
24	(R+G+B)/3	7010	185.267	179	189									
25	0.299R+0.587G+0.114B	7010	196.12	190	199									
26	Red	7010	251.787	245	254	150	7.412							
27	Green	7010	178.664	171	184									
28	Blue	7010	120.365	113	128									
29	(R+G+B)/3	7010	183.548	176	189									
30	0.299R+0.587G+0.114B	7010	193.769	187	199									
31	Red	7010	251.028	244	254	180	8.551							
32	Green	7010	175.409	168	180									
33	Blue	7010	116.892	110	123									
34	(R+G+B)/3	7010	181.053	174	185									
35	0.299R+0.587G+0.114B	7010	191.397	184	195									
36	Red	7010	252.131	245	254	210	10.413							
37	Green	7010	174.029	167	179									
38	Blue	7010	116.753	111	123									
39	(R+G+B)/3	7010	181.01	174	185									
40	0.299R+0.587G+0.114B	7010	190.955	184	195									
41	Red	7010	251.145	242	254	240	14.153							
42	Green	7010	170.385	162	175									
43	Blue	7010	117.931	107	124									
44	(R+G+B)/3	7010	179.808	170	184									
45	0.299R+0.587G+0.114B	7010	188.634	180	193									
46	Red	7010	250.371	244	254	270	17.6635							
47	Green	7010	167.584	161	173									
48	Blue	7010	120.124	113	126									
49	(R+G+B)/3	7010	179.296	173	184									
50	0.299R+0.587G+0.114B	7010	186.927	181	192									
51	Red	7010	250.447	243	254	300	19.788							
52	Green	7010	164.041	156	169									
53	Blue	7010	117.211	110	124									
54	(R+G+B)/3	7010	177.251	170	182									
55	0.299R+0.587G+0.114B	7010	184.515	177	189									
56	Red	7010	250.763	242	254	330	23.916							
57	Green	7010	157.641	150	163									
58	Blue	7010	112.351	105	119									
59	(R+G+B)/3	7010	173.668	166	179									
60	0.299R+0.587G+0.114B	7010	180.528	172	185									
61	Red	7010	249.928	242	254	360	27.0215							
62	Green	7010	154.529	147	160									
63	Blue	7010	113.173	105	120									
64	(R+G+B)/3	7010	172.552	165	178									
65	0.299R+0.587G+0.114B	7010	178.348	171	184									
66	Red	7010	249.91	243	254	390	30							
67	Green	7010	151.3	144	157									
68	Blue	7010	112.69	105	118									
69	(R+G+B)/3	7010	171.225	164	176									
70	0.299R+0.587G+0.114B	7010	176.388	169	182									
71	Red	7010	248.771	242	254	420	32.1655							
72	Green	7010	148.781	143	155									
73	Blue	7010	113.122	104	121									
74	(R+G+B)/3	7010	170.245	163	176									
75	0.299R+0.587G+0.114B	7010	174.54	168	180									
76	Red	7010	248.394	241	253	450	34.386							
77	Green	7010	147.78	141	153									
78	Blue	7010	115.938	106	122									
79	(R+G+B)/3	7010	170.696	164	175									
80	0.299R+0.587G+0.114B	7010	174.265	167	179									
81	Red	7010	247.108	241	253	480	36.601							
82	Green	7010	144.493	138	151									
83	Blue	7010	115.08	107	123									
84	(R+G+B)/3	7010	168.865	163	175									
85	0.299R+0.587G+0.114B	7010	171.806	165	178									
86	Red	7010	246.179	240	251	510	37.9825							
87	Green	7010	144.862	139	150									
88	Blue	7010	119.51	112	127									
89	(R+G+B)/3	7010	170.183	164	176									
90	0.299R+0.587G+0.114B	7010	172.368	166	177									
91	Red	7010	243.364	238	248	540	37.959							
92	Green	7010	146.628	141	152									
93	Blue	7010	125.81	117	133									
94	(R+G+B)/3	7010	171.925	166	177									
95	0.299R+0.587G+0.114B	7010	173.053	167	178									
96	Red	7010	242.548	237	247	570	34.94							
97	Green	7010	155.493	149	161									
98	Blue	7010	138.318	132	145									
99	(R+G+B)/3	7010	178.737	173	183									
100	0.299R+0.587G+0.114B	7010	179.488	174	184									
